,AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType,Global_Score
2,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190616_151000.WAV,GRABADOR-SDZG-AM-1,20190616_151000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,2019-06-16 15:10:00,60.00046875,,Recorded at 15:10:00 16/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.7V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:13:13-08:00,WAV,WAV,audio/x-wav,0.7777266502
8,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190616_161000.WAV,GRABADOR-SDZG-AM-1,20190616_161000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,2019-06-16 16:10:00,60.00046875,,Recorded at 16:10:00 16/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.7V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:13:24-08:00,WAV,WAV,audio/x-wav,0.5156677365
13,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190616_170000.WAV,GRABADOR-SDZG-AM-1,20190616_170000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,2019-06-16 17:00:00,60.00046875,,Recorded at 17:00:00 16/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.7V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:13:33-08:00,WAV,WAV,audio/x-wav,0.9495960474
19,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190616_180000.WAV,GRABADOR-SDZG-AM-1,20190616_180000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,2019-06-16 18:00:00,60.00046875,,Recorded at 18:00:00 16/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.7V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:13:44-08:00,WAV,WAV,audio/x-wav,0.8904563189
25,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190616_190000.WAV,GRABADOR-SDZG-AM-1,20190616_190000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,2019-06-16 19:00:00,60.00046875,,Recorded at 19:00:00 16/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.7V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:13:55-08:00,WAV,WAV,audio/x-wav,0.9904251099
31,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190616_200000.WAV,GRABADOR-SDZG-AM-1,20190616_200000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,2019-06-16 20:00:00,60.00046875,,Recorded at 20:00:00 16/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.6V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:14:06-08:00,WAV,WAV,audio/x-wav,0.5069175959
40,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190616_213000.WAV,GRABADOR-SDZG-AM-1,20190616_213000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,2019-06-16 21:30:00,60.00046875,,Recorded at 21:30:00 16/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.6V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:14:23-08:00,WAV,WAV,audio/x-wav,0.7900227308
45,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190616_222000.WAV,GRABADOR-SDZG-AM-1,20190616_222000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,2019-06-16 22:20:00,60.00046875,,Recorded at 22:20:00 16/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.6V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:14:33-08:00,WAV,WAV,audio/x-wav,0.9924860001
61,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190617_010000.WAV,GRABADOR-SDZG-AM-1,20190617_010000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,2019-06-17 1:00:00,60.00046875,,Recorded at 01:00:00 17/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.6V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:15:03-08:00,WAV,WAV,audio/x-wav,0.5773137808
101,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190617_074000.WAV,GRABADOR-SDZG-AM-1,20190617_074000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,2019-06-17 7:40:00,60.00046875,,Recorded at 07:40:00 17/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.5V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:16:17-08:00,WAV,WAV,audio/x-wav,0.7118205428
