,AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType,Global_Score
41050,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190702_121000.WAV,GRABADOR-SDZG-AM-25,20190702_121000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:10:00 02/07/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 3.8V.,AudioMoth 24E144035BA455E9,2019:12:08 19:15:24-08:00,WAV,WAV,audio/x-wav,0.8520523906
42476,AM-26,2466C2065BA446CE,GRABADOR-SDZG-AM-26/20190619_113000.WAV,GRABADOR-SDZG-AM-26,20190619_113000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:30:00 19/06/2019 (UTC) by AudioMoth 2466C2065BA446CE at gain setting 2 while battery state was 4.3V.,AudioMoth 2466C2065BA446CE,2019:12:19 16:49:49-08:00,WAV,WAV,audio/x-wav,0.9942238927
49686,AM-29,247AA5015BA446E5,GRABADOR-SDZG-AM-29/20190621_111000.WAV,GRABADOR-SDZG-AM-29,20190621_111000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:10:00 21/06/2019 (UTC) by AudioMoth 247AA5015BA446E5 at gain setting 2 while battery state was 4.4V.,AudioMoth 247AA5015BA446E5,2019:12:08 11:27:09-08:00,WAV,WAV,audio/x-wav,0.8491933346
29205,AM-22,247AA5015BA446DA,GRABADOR-SDZG-AM-22/20190704_120000.WAV,GRABADOR-SDZG-AM-22,20190704_120000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:00:00 04/07/2019 (UTC) by AudioMoth 247AA5015BA446DA at gain setting 2 while battery state was 4.1V.,AudioMoth 247AA5015BA446DA,2019:12:10 21:38:47-08:00,WAV,WAV,audio/x-wav,0.9314595461
29496,AM-22,247AA5015BA446DA,GRABADOR-SDZG-AM-22/20190706_123000.WAV,GRABADOR-SDZG-AM-22,20190706_123000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:30:00 06/07/2019 (UTC) by AudioMoth 247AA5015BA446DA at gain setting 2 while battery state was 4.0V.,AudioMoth 247AA5015BA446DA,2019:12:10 22:03:57-08:00,WAV,WAV,audio/x-wav,0.9813693762
44492,AM-26,2466C2065BA446CE,GRABADOR-SDZG-AM-26/20190703_113000.WAV,GRABADOR-SDZG-AM-26,20190703_113000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:30:00 03/07/2019 (UTC) by AudioMoth 2466C2065BA446CE at gain setting 2 while battery state was 3.8V.,AudioMoth 2466C2065BA446CE,2019:12:19 17:53:20-08:00,WAV,WAV,audio/x-wav,0.9903234243
44638,AM-26,2466C2065BA446CE,GRABADOR-SDZG-AM-26/20190704_115000.WAV,GRABADOR-SDZG-AM-26,20190704_115000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:50:00 04/07/2019 (UTC) by AudioMoth 2466C2065BA446CE at gain setting 2 while battery state was 3.7V.,AudioMoth 2466C2065BA446CE,2019:12:19 17:57:58-08:00,WAV,WAV,audio/x-wav,0.9342910051
46184,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190621_124000.WAV,GRABADOR-SDZG-AM-27,20190621_124000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:40:00 21/06/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F075C79F65E,2019:12:18 12:36:27-08:00,WAV,WAV,audio/x-wav,0.5873475671
51272,AM-29,247AA5015BA446E5,GRABADOR-SDZG-AM-29/20190702_113000.WAV,GRABADOR-SDZG-AM-29,20190702_113000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:30:00 02/07/2019 (UTC) by AudioMoth 247AA5015BA446E5 at gain setting 2 while battery state was 4.0V.,AudioMoth 247AA5015BA446E5,2019:12:08 13:44:00-08:00,WAV,WAV,audio/x-wav,0.7926008701
49980,AM-29,247AA5015BA446E5,GRABADOR-SDZG-AM-29/20190623_121000.WAV,GRABADOR-SDZG-AM-29,20190623_121000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:10:00 23/06/2019 (UTC) by AudioMoth 247AA5015BA446E5 at gain setting 2 while battery state was 4.3V.,AudioMoth 247AA5015BA446E5,2019:12:08 11:52:31-08:00,WAV,WAV,audio/x-wav,0.9941594601
28913,AM-22,247AA5015BA446DA,GRABADOR-SDZG-AM-22/20190702_112000.WAV,GRABADOR-SDZG-AM-22,20190702_112000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:20:00 02/07/2019 (UTC) by AudioMoth 247AA5015BA446DA at gain setting 2 while battery state was 4.1V.,AudioMoth 247AA5015BA446DA,2019:12:10 21:13:32-08:00,WAV,WAV,audio/x-wav,0.9807939529
39466,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190621_121000.WAV,GRABADOR-SDZG-AM-25,20190621_121000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:10:00 21/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.3V.,AudioMoth 24E144035BA455E9,2019:12:08 16:59:00-08:00,WAV,WAV,audio/x-wav,0.9933394194
36868,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190629_105000.WAV,GRABADOR-SDZG-AM-24,20190629_105000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:50:00 29/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F075C79FAFC,2019:12:09 05:25:18-08:00,WAV,WAV,audio/x-wav,0.9852141142
