,AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType,Global_Score
23352,AM-2,248C7D075B2BF148,GRABADOR-SDZG-AM-2/20190626_113000.WAV,GRABADOR-SDZG-AM-2,20190626_113000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:30:00 26/06/2019 (UTC) by AudioMoth 248C7D075B2BF148 at gain setting 2 while battery state was 4.1V.,AudioMoth 248C7D075B2BF148,2019:12:08 06:52:02-08:00,WAV,WAV,audio/x-wav,0.9124507904
48336,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190706_112000.WAV,GRABADOR-SDZG-AM-27,20190706_112000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:20:00 06/07/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 3.8V.,AudioMoth 243B1F075C79F65E,2019:12:18 13:43:49-08:00,WAV,WAV,audio/x-wav,0.989796102
44771,AM-26,2466C2065BA446CE,GRABADOR-SDZG-AM-26/20190705_100000.WAV,GRABADOR-SDZG-AM-26,20190705_100000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:00:00 05/07/2019 (UTC) by AudioMoth 2466C2065BA446CE at gain setting 2 while battery state was 3.7V.,AudioMoth 2466C2065BA446CE,2019:12:19 18:02:10-08:00,WAV,WAV,audio/x-wav,0.8887757659
28774,AM-22,247AA5015BA446DA,GRABADOR-SDZG-AM-22/20190701_121000.WAV,GRABADOR-SDZG-AM-22,20190701_121000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:10:00 01/07/2019 (UTC) by AudioMoth 247AA5015BA446DA at gain setting 2 while battery state was 4.1V.,AudioMoth 247AA5015BA446DA,2019:12:10 21:01:31-08:00,WAV,WAV,audio/x-wav,0.2747441232
29494,AM-22,247AA5015BA446DA,GRABADOR-SDZG-AM-22/20190706_121000.WAV,GRABADOR-SDZG-AM-22,20190706_121000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:10:00 06/07/2019 (UTC) by AudioMoth 247AA5015BA446DA at gain setting 2 while battery state was 4.0V.,AudioMoth 247AA5015BA446DA,2019:12:10 22:03:47-08:00,WAV,WAV,audio/x-wav,0.953450799
42627,AM-26,2466C2065BA446CE,GRABADOR-SDZG-AM-26/20190620_124000.WAV,GRABADOR-SDZG-AM-26,20190620_124000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:40:00 20/06/2019 (UTC) by AudioMoth 2466C2065BA446CE at gain setting 2 while battery state was 4.2V.,AudioMoth 2466C2065BA446CE,2019:12:19 16:54:32-08:00,WAV,WAV,audio/x-wav,0.122753948
57800,AM-30,248C7D075B2BF656,GRABADOR-SDZG-AM-30/20190630_110000.WAV,GRABADOR-SDZG-AM-30,20190630_110000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:00:00 30/06/2019 (UTC) by AudioMoth 248C7D075B2BF656 at gain setting 2 while battery state was 4.0V.,AudioMoth 248C7D075B2BF656,2019:12:18 15:25:00-08:00,WAV,WAV,audio/x-wav,0.9941007495
44641,AM-26,2466C2065BA446CE,GRABADOR-SDZG-AM-26/20190704_122000.WAV,GRABADOR-SDZG-AM-26,20190704_122000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:20:00 04/07/2019 (UTC) by AudioMoth 2466C2065BA446CE at gain setting 2 while battery state was 3.7V.,AudioMoth 2466C2065BA446CE,2019:12:19 17:58:03-08:00,WAV,WAV,audio/x-wav,0.9910246134
39026,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190618_105000.WAV,GRABADOR-SDZG-AM-25,20190618_105000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:50:00 18/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.4V.,AudioMoth 24E144035BA455E9,2019:12:08 16:21:15-08:00,WAV,WAV,audio/x-wav,0.969835639
29337,AM-22,247AA5015BA446DA,GRABADOR-SDZG-AM-22/20190705_100000.WAV,GRABADOR-SDZG-AM-22,20190705_100000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:00:00 05/07/2019 (UTC) by AudioMoth 247AA5015BA446DA at gain setting 2 while battery state was 4.0V.,AudioMoth 247AA5015BA446DA,2019:12:10 21:50:12-08:00,WAV,WAV,audio/x-wav,0.02813705802
